date,metric,value,segment,unit
2026-05-11,orders,46874,all,count
2026-05-11,conversion_rate,0.0428,all,ratio
2026-05-11,aov,116.6000,all,CNY
2026-05-11,gross_margin_rate,0.2710,all,ratio
2026-05-11,refund_rate,0.0466,all,ratio
2026-05-11,return_rate,0.0627,all,ratio
2026-05-11,late_delivery_rate,0.1504,all,ratio
2026-05-11,stockout_rate,0.1086,all,ratio
2026-05-11,repeat_purchase_rate,0.2610,all,ratio
2026-05-18,gmv,4770000,all,CNY
2026-05-18,orders,39500,all,count
2026-05-18,conversion_rate,0.0384,all,ratio
2026-05-18,aov,124.8000,all,CNY
2026-05-18,gross_margin_rate,0.3205,all,ratio
2026-05-18,refund_rate,0.0368,all,ratio
2026-05-18,return_rate,0.0519,all,ratio
2026-05-18,late_delivery_rate,0.0907,all,ratio
2026-05-18,stockout_rate,0.0568,all,ratio
2026-05-18,repeat_purchase_rate,0.2755,all,ratio
2026-05-25,gmv,4800000,all,CNY
2026-05-25,orders,39800,all,count
2026-05-25,conversion_rate,0.0385,all,ratio
2026-05-25,aov,125,all,CNY
2026-05-25,gross_margin_rate,0.3200,all,ratio
2026-05-25,refund_rate,0.0370,all,ratio
2026-05-25,return_rate,0.0520,all,ratio
2026-05-25,late_delivery_rate,0.0910,all,ratio
2026-05-25,stockout_rate,0.0570,all,ratio
2026-05-25,repeat_purchase_rate,0.2750,all,ratio
2026-06-01,gmv,4830000,all,CNY
2026-06-01,orders,40100,all,count
2026-06-01,conversion_rate,0.0386,all,ratio
2026-06-01,aov,125.2000,all,CNY
2026-06-01,gross_margin_rate,0.3195,all,ratio
2026-06-01,refund_rate,0.0372,all,ratio
2026-06-01,return_rate,0.0522,all,ratio
2026-06-01,late_delivery_rate,0.0913,all,ratio
2026-06-01,stockout_rate,0.0572,all,ratio
2026-06-01,repeat_purchase_rate,0.2745,all,ratio
2026-06-08,gmv,4860000,all,CNY
2026-06-08,orders,40400,all,count
2026-06-08,conversion_rate,0.0387,all,ratio
2026-06-08,aov,125.4000,all,CNY
2026-06-08,gross_margin_rate,0.3190,all,ratio
2026-06-08,refund_rate,0.0374,all,ratio
2026-06-08,return_rate,0.0523,all,ratio
2026-06-08,late_delivery_rate,0.0916,all,ratio
2026-06-08,stockout_rate,0.0574,all,ratio
2026-06-08,repeat_purchase_rate,0.2740,all,ratio
2026-06-15,gmv,4890000,all,CNY
2026-06-15,orders,40700,all,count
2026-06-15,conversion_rate,0.0388,all,ratio
2026-06-15,aov,125.6000,all,CNY
2026-06-15,gross_margin_rate,0.3185,all,ratio
2026-06-15,refund_rate,0.0376,all,ratio
2026-06-15,return_rate,0.0525,all,ratio
2026-06-15,late_delivery_rate,0.0919,all,ratio
2026-06-15,stockout_rate,0.0576,all,ratio
2026-06-15,repeat_purchase_rate,0.2735,all,ratio
2026-06-22,gmv,4920000,all,CNY
2026-06-22,orders,41000,all,count
2026-06-22,conversion_rate,0.0389,all,ratio
2026-06-22,aov,125.8000,all,CNY
2026-06-22,gross_margin_rate,0.3180,all,ratio
2026-06-22,refund_rate,0.0378,all,ratio
2026-06-22,return_rate,0.0526,all,ratio
2026-06-22,late_delivery_rate,0.0922,all,ratio
2026-06-22,stockout_rate,0.0578,all,ratio
2026-06-22,repeat_purchase_rate,0.2730,all,ratio
2026-06-29,gmv,4950000,all,CNY
2026-06-29,orders,41300,all,count
2026-06-29,conversion_rate,0.0390,all,ratio
2026-06-29,aov,126,all,CNY
2026-06-29,gross_margin_rate,0.3175,all,ratio
2026-06-29,refund_rate,0.0380,all,ratio
2026-06-29,return_rate,0.0527,all,ratio
2026-06-29,late_delivery_rate,0.0925,all,ratio
2026-06-29,stockout_rate,0.0580,all,ratio
2026-06-29,repeat_purchase_rate,0.2725,all,ratio
