date,metric,value,segment,unit
2026-03-16,churn_rate,0.0300,all,ratio
2026-03-16,expansion_revenue,190000,all,CNY
2026-03-16,cac,760,all,CNY
2026-03-16,support_backlog,210,all,count
2026-03-23,mrr,1508000,all,CNY
2026-03-23,trial_signups,1208,all,count
2026-03-23,activation_rate,0.4380,all,ratio
2026-03-23,retention_8w,0.6925,all,ratio
2026-03-23,churn_rate,0.0303,all,ratio
2026-03-23,expansion_revenue,195000,all,CNY
2026-03-23,cac,768,all,CNY
2026-03-23,support_backlog,215,all,count
2026-03-30,mrr,1536000,all,CNY
2026-03-30,trial_signups,1236,all,count
2026-03-30,activation_rate,0.4360,all,ratio
2026-03-30,retention_8w,0.6900,all,ratio
2026-03-30,churn_rate,0.0306,all,ratio
2026-03-30,expansion_revenue,200000,all,CNY
2026-03-30,cac,776,all,CNY
2026-03-30,support_backlog,220,all,count
2026-04-06,mrr,1578000,all,CNY
2026-04-06,trial_signups,1484,all,count
2026-04-06,activation_rate,0.4290,all,ratio
2026-04-06,retention_8w,0.6815,all,ratio
2026-04-06,churn_rate,0.0321,all,ratio
2026-04-06,expansion_revenue,202800,all,CNY
2026-04-06,cac,802,all,CNY
2026-04-06,support_backlog,249,all,count
2026-04-13,mrr,1620000,all,CNY
2026-04-13,trial_signups,1512,all,count
2026-04-13,activation_rate,0.4220,all,ratio
2026-04-13,retention_8w,0.6730,all,ratio
2026-04-13,churn_rate,0.0336,all,ratio
2026-04-13,expansion_revenue,205600,all,CNY
2026-04-13,cac,828,all,CNY
2026-04-13,support_backlog,278,all,count
2026-04-20,mrr,1662000,all,CNY
2026-04-20,trial_signups,1540,all,count
2026-04-20,activation_rate,0.4150,all,ratio
2026-04-20,retention_8w,0.6645,all,ratio
2026-04-20,churn_rate,0.0351,all,ratio
2026-04-20,expansion_revenue,208400,all,CNY
2026-04-20,cac,854,all,CNY
2026-04-20,support_backlog,307,all,count
2026-04-27,mrr,1704000,all,CNY
2026-04-27,trial_signups,1568,all,count
2026-04-27,activation_rate,0.4080,all,ratio
2026-04-27,retention_8w,0.6560,all,ratio
2026-04-27,churn_rate,0.0366,all,ratio
2026-04-27,expansion_revenue,211200,all,CNY
2026-04-27,cac,880,all,CNY
2026-04-27,support_backlog,336,all,count
2026-05-04,mrr,1746000,all,CNY
2026-05-04,trial_signups,1596,all,count
2026-05-04,activation_rate,0.4010,all,ratio
2026-05-04,retention_8w,0.6475,all,ratio
2026-05-04,churn_rate,0.0381,all,ratio
2026-05-04,expansion_revenue,214000,all,CNY
2026-05-04,cac,906,all,CNY
2026-05-04,support_backlog,365,all,count
2026-05-11,mrr,1788000,all,CNY
2026-05-11,trial_signups,1624,all,count
2026-05-11,activation_rate,0.3940,all,ratio
2026-05-11,retention_8w,0.6390,all,ratio
2026-05-11,churn_rate,0.0396,all,ratio
2026-05-11,expansion_revenue,216800,all,CNY
2026-05-11,cac,932,all,CNY
2026-05-11,support_backlog,394,all,count
2026-05-18,mrr,1830000,all,CNY
2026-05-18,trial_signups,1652,all,count
2026-05-18,activation_rate,0.3870,all,ratio
2026-05-18,retention_8w,0.6305,all,ratio
2026-05-18,churn_rate,0.0411,all,ratio
2026-05-18,expansion_revenue,219600,all,CNY
2026-05-18,cac,958,all,CNY
2026-05-18,support_backlog,423,all,count
2026-05-25,mrr,1872000,all,CNY
2026-05-25,trial_signups,1680,all,count
2026-05-25,activation_rate,0.3800,all,ratio
2026-05-25,retention_8w,0.6220,all,ratio
2026-05-25,churn_rate,0.0426,all,ratio
2026-05-25,expansion_revenue,222400,all,CNY
2026-05-25,cac,984,all,CNY
2026-05-25,support_backlog,452,all,count
2026-06-01,mrr,1914000,all,CNY
2026-06-01,trial_signups,1708,all,count
2026-06-01,activation_rate,0.3730,all,ratio
2026-06-01,retention_8w,0.6135,all,ratio
2026-06-01,churn_rate,0.0441,all,ratio
2026-06-01,expansion_revenue,225200,all,CNY
2026-06-01,cac,1010,all,CNY
2026-06-01,support_backlog,481,all,count
2026-06-08,mrr,1956000,all,CNY
2026-06-08,trial_signups,1736,all,count
2026-06-08,activation_rate,0.3660,all,ratio
2026-06-08,retention_8w,0.6050,all,ratio
2026-06-08,churn_rate,0.0456,all,ratio
2026-06-08,expansion_revenue,228000,all,CNY
2026-06-08,cac,1036,all,CNY
2026-06-08,support_backlog,510,all,count
2026-06-15,mrr,1998000,all,CNY
2026-06-15,trial_signups,1764,all,count
2026-06-15,activation_rate,0.3590,all,ratio
2026-06-15,retention_8w,0.5965,all,ratio
2026-06-15,churn_rate,0.0471,all,ratio
2026-06-15,expansion_revenue,230800,all,CNY
2026-06-15,cac,1062,all,CNY
2026-06-15,support_backlog,539,all,count
2026-06-22,mrr,2040000,all,CNY
2026-06-22,trial_signups,1792,all,count
2026-06-22,activation_rate,0.3520,all,ratio
2026-06-22,retention_8w,0.5880,all,ratio
2026-06-22,churn_rate,0.0486,all,ratio
2026-06-22,expansion_revenue,233600,all,CNY
2026-06-22,cac,1088,all,CNY
2026-06-22,support_backlog,568,all,count
2026-06-29,mrr,2082000,all,CNY
2026-06-29,trial_signups,1820,all,count
2026-06-29,activation_rate,0.3450,all,ratio
2026-06-29,retention_8w,0.5795,all,ratio
2026-06-29,churn_rate,0.0501,all,ratio
2026-06-29,expansion_revenue,236400,all,CNY
2026-06-29,cac,1114,all,CNY
2026-06-29,support_backlog,597,all,count
